epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,221.414,0.52017,0.30617,0.87083,0.98339,0.98333,0.9937,0.79051,0.60245,0.25515,0.75214,0.000958102,0.000958102,0.000958102
93,223.698,0.49817,0.28722,0.85354,0.98562,0.98,0.99349,0.79329,0.60618,0.26825,0.75092,0.000945256,0.000945256,0.000945256
94,225.992,0.50707,0.26786,0.85727,0.97105,0.98342,0.99349,0.7886,0.6079,0.29323,0.73324,0.000932384,0.000932384,0.000932384
95,228.329,0.51008,0.265,0.86423,0.98572,0.98667,0.99388,0.79166,0.60938,0.28208,0.73614,0.00091949,0.00091949,0.00091949
96,230.597,0.49758,0.30154,0.86617,0.98112,0.98634,0.9942,0.79339,0.5871,0.28139,0.73526,0.000906577,0.000906577,0.000906577
97,233.002,0.48455,0.29005,0.86354,0.98738,0.99333,0.99418,0.79575,0.60428,0.29512,0.76078,0.000893648,0.000893648,0.000893648
98,235.258,0.51937,0.29237,0.86418,0.9879,0.98712,0.9941,0.79449,0.56061,0.25098,0.72002,0.000880706,0.000880706,0.000880706
99,237.472,0.49554,0.28636,0.87011,0.96107,0.98667,0.99402,0.80257,0.58331,0.2626,0.73782,0.000867754,0.000867754,0.000867754
100,239.778,0.49614,0.27012,0.86574,0.98913,0.99,0.994,0.78354,0.65673,0.29849,0.78045,0.000854796,0.000854796,0.000854796
101,242.126,0.52401,0.29614,0.87477,0.98787,0.99,0.99434,0.80085,0.59584,0.27095,0.74671,0.000841835,0.000841835,0.000841835
102,244.506,0.49764,0.26428,0.85772,0.98259,0.98667,0.99342,0.79923,0.58733,0.2699,0.72163,0.000828874,0.000828874,0.000828874
103,246.711,0.47653,0.25348,0.86582,0.97528,0.98667,0.99338,0.80753,0.58311,0.26359,0.73018,0.000815916,0.000815916,0.000815916
104,249.113,0.48438,0.25675,0.86865,0.98223,0.99,0.99421,0.81022,0.5717,0.26159,0.72722,0.000802964,0.000802964,0.000802964
105,251.463,0.50927,0.27108,0.85995,0.97565,0.99,0.9941,0.81816,0.53763,0.24845,0.71151,0.000790022,0.000790022,0.000790022
106,253.764,0.48925,0.27404,0.85318,0.98884,0.9737,0.99346,0.81267,0.59741,0.25305,0.74111,0.000777093,0.000777093,0.000777093
107,256.098,0.50381,0.27604,0.86066,0.98704,0.98,0.99356,0.81583,0.55728,0.25206,0.71835,0.00076418,0.00076418,0.00076418
108,258.379,0.47579,0.28188,0.87758,0.97743,0.98667,0.9934,0.80405,0.60918,0.25795,0.73372,0.000751286,0.000751286,0.000751286
109,260.68,0.4986,0.30833,0.89302,0.98525,0.98387,0.99361,0.81044,0.58397,0.25871,0.73182,0.000738414,0.000738414,0.000738414
110,262.942,0.46967,0.26134,0.86191,0.98241,0.98667,0.9935,0.80063,0.58128,0.25386,0.72236,0.000725568,0.000725568,0.000725568
