epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,424.985,0.55775,0.38485,0.82613,0.99919,1,0.995,0.89111,0.26911,0.16476,0.42574,0.000588479,0.000588479,0.000588479
130,428.439,0.55098,0.37842,0.82849,0.99919,1,0.995,0.88869,0.26624,0.16499,0.42575,0.00057446,0.00057446,0.00057446
131,431.876,0.54469,0.37301,0.82863,0.99912,1,0.995,0.87877,0.2741,0.18161,0.42772,0.000560549,0.000560549,0.000560549
132,435.343,0.56125,0.3778,0.84159,0.99914,1,0.995,0.88262,0.26089,0.18567,0.42507,0.000546749,0.000546749,0.000546749
133,438.501,0.55197,0.37516,0.82542,0.99916,1,0.995,0.88709,0.25955,0.18179,0.42511,0.000533064,0.000533064,0.000533064
134,441.804,0.5234,0.36662,0.82058,0.99911,1,0.995,0.88152,0.26185,0.19751,0.42442,0.000519496,0.000519496,0.000519496
135,445.15,0.52711,0.36471,0.83743,0.99909,1,0.995,0.89452,0.25707,0.20176,0.42479,0.000506049,0.000506049,0.000506049
136,448.565,0.53807,0.36357,0.82525,0.99901,1,0.995,0.88763,0.26389,0.22941,0.42547,0.000492726,0.000492726,0.000492726
137,451.969,0.54827,0.36066,0.83048,0.99905,1,0.995,0.87704,0.26597,0.22783,0.42684,0.000479531,0.000479531,0.000479531
138,455.451,0.53803,0.36181,0.84602,0.99908,1,0.995,0.89084,0.25894,0.20902,0.42573,0.000466467,0.000466467,0.000466467
139,458.819,0.53505,0.35923,0.81896,0.9991,1,0.995,0.89572,0.25908,0.19297,0.42375,0.000453537,0.000453537,0.000453537
140,462.165,0.5085,0.34937,0.83148,0.9991,1,0.995,0.89669,0.26399,0.18676,0.4254,0.000440745,0.000440745,0.000440745
141,465.56,0.52654,0.3589,0.81567,0.99917,1,0.995,0.89906,0.26134,0.18115,0.426,0.000428093,0.000428093,0.000428093
142,468.751,0.52565,0.35732,0.82909,0.99915,1,0.995,0.89161,0.25455,0.17798,0.42311,0.000415584,0.000415584,0.000415584
143,472.116,0.51677,0.35049,0.82604,0.99913,1,0.995,0.89364,0.25666,0.18896,0.42308,0.000403222,0.000403222,0.000403222
144,475.539,0.52207,0.35147,0.83236,0.99911,1,0.995,0.8986,0.25287,0.19803,0.42266,0.00039101,0.00039101,0.00039101
145,479.072,0.51506,0.34957,0.82937,0.99918,1,0.995,0.89357,0.24831,0.17508,0.42273,0.00037895,0.00037895,0.00037895
146,482.599,0.50286,0.3345,0.82793,0.99913,1,0.995,0.89087,0.24673,0.17373,0.42348,0.000367046,0.000367046,0.000367046
147,485.992,0.53869,0.34184,0.83894,0.99914,1,0.995,0.89681,0.24475,0.16555,0.42371,0.000355301,0.000355301,0.000355301
148,489.341,0.51793,0.34498,0.81832,0.99918,1,0.995,0.8911,0.25925,0.17669,0.42531,0.000343718,0.000343718,0.000343718
149,492.541,0.50326,0.34191,0.81382,0.9992,1,0.995,0.89887,0.24695,0.17047,0.42295,0.000332298,0.000332298,0.000332298
150,495.924,0.51962,0.34844,0.82929,0.99919,1,0.995,0.90728,0.24637,0.1717,0.424,0.000321046,0.000321046,0.000321046
151,499.24,0.53263,0.36146,0.83127,0.99919,1,0.995,0.89363,0.2564,0.18349,0.42471,0.000309964,0.000309964,0.000309964
152,502.627,0.50059,0.33694,0.82966,0.9992,1,0.995,0.896,0.24891,0.17395,0.42379,0.000299055,0.000299055,0.000299055
153,505.943,0.48625,0.3344,0.82621,0.99918,1,0.995,0.89682,0.2433,0.17173,0.42283,0.000288321,0.000288321,0.000288321
154,509.288,0.50349,0.35739,0.8234,0.9992,1,0.995,0.90323,0.24122,0.17213,0.42257,0.000277765,0.000277765,0.000277765
155,512.702,0.504,0.33896,0.82848,0.9992,1,0.995,0.90332,0.23916,0.16509,0.42144,0.00026739,0.00026739,0.00026739
156,516.101,0.48579,0.33629,0.8168,0.99922,1,0.995,0.90563,0.24811,0.15589,0.42069,0.000257198,0.000257198,0.000257198
157,519.407,0.50069,0.33817,0.8195,0.99922,1,0.995,0.90244,0.24496,0.15926,0.42198,0.000247192,0.000247192,0.000247192
158,522.807,0.48051,0.34007,0.82449,0.9992,1,0.995,0.90437,0.24205,0.15863,0.42171,0.000237374,0.000237374,0.000237374
159,526.139,0.4879,0.33524,0.83279,0.9992,1,0.995,0.90915,0.24093,0.15376,0.42158,0.000227747,0.000227747,0.000227747
160,529.482,0.49619,0.3392,0.82797,0.99921,1,0.995,0.90458,0.24448,0.15583,0.42273,0.000218312,0.000218312,0.000218312
161,532.851,0.50258,0.33472,0.82568,0.9992,1,0.995,0.90446,0.24957,0.15876,0.42489,0.000209073,0.000209073,0.000209073
162,536.178,0.47422,0.32139,0.82161,0.9992,1,0.995,0.89738,0.24521,0.15614,0.42349,0.000200032,0.000200032,0.000200032
163,539.549,0.51586,0.34346,0.81445,0.99919,1,0.995,0.90054,0.24286,0.15173,0.4223,0.00019119,0.00019119,0.00019119
164,542.649,0.48689,0.33362,0.82466,0.99921,1,0.995,0.90033,0.25454,0.15036,0.423,0.000182551,0.000182551,0.000182551
165,545.934,0.50773,0.35078,0.8167,0.9992,1,0.995,0.90097,0.24948,0.1546,0.42452,0.000174115,0.000174115,0.000174115
166,549.271,0.50131,0.3317,0.82734,0.99918,1,0.995,0.90309,0.24185,0.15471,0.42284,0.000165886,0.000165886,0.000165886
167,552.653,0.48956,0.33082,0.81604,0.99919,1,0.995,0.91037,0.2401,0.15314,0.42201,0.000157865,0.000157865,0.000157865
168,556.039,0.46851,0.32797,0.8202,0.99918,1,0.995,0.90796,0.24167,0.1487,0.42216,0.000150055,0.000150055,0.000150055
169,559.374,0.48517,0.32161,0.83406,0.99917,1,0.995,0.9003,0.24237,0.14631,0.42377,0.000142456,0.000142456,0.000142456
170,562.963,0.47602,0.31974,0.81656,0.99917,1,0.995,0.90594,0.23897,0.14606,0.42354,0.000135072,0.000135072,0.000135072
171,566.488,0.49494,0.33487,0.83006,0.99917,1,0.995,0.9064,0.23714,0.14701,0.42197,0.000127904,0.000127904,0.000127904
172,569.998,0.49231,0.33083,0.82717,0.99917,1,0.995,0.90828,0.23936,0.14416,0.42181,0.000120953,0.000120953,0.000120953
173,573.43,0.46977,0.32592,0.82336,0.99918,1,0.995,0.90552,0.24221,0.14941,0.42202,0.000114221,0.000114221,0.000114221
174,577.024,0.46956,0.31573,0.81257,0.99917,1,0.995,0.90721,0.24214,0.14898,0.42247,0.000107711,0.000107711,0.000107711
175,580.611,0.48358,0.33195,0.82191,0.99918,1,0.995,0.90549,0.24112,0.14989,0.42307,0.000101423,0.000101423,0.000101423
176,584.199,0.47827,0.32112,0.81519,0.99919,1,0.995,0.9056,0.24252,0.1504,0.42418,9.53593e-05,9.53593e-05,9.53593e-05
177,587.58,0.45424,0.31241,0.82413,0.99919,1,0.995,0.90519,0.24177,0.15336,0.42355,8.95213e-05,8.95213e-05,8.95213e-05
178,591.027,0.48629,0.32558,0.8159,0.99919,1,0.995,0.90084,0.24444,0.152,0.42369,8.39104e-05,8.39104e-05,8.39104e-05
179,594.41,0.46499,0.31344,0.81784,0.99919,1,0.995,0.90151,0.2452,0.1515,0.42346,7.8528e-05,7.8528e-05,7.8528e-05
180,597.807,0.46039,0.31273,0.81121,0.99919,1,0.995,0.90795,0.24411,0.15164,0.42357,7.33755e-05,7.33755e-05,7.33755e-05
181,601.175,0.48029,0.32219,0.81389,0.99919,1,0.995,0.90866,0.2447,0.15361,0.42351,6.8454e-05,6.8454e-05,6.8454e-05
182,604.555,0.44756,0.31951,0.82766,0.99919,1,0.995,0.90355,0.24502,0.15965,0.42338,6.37649e-05,6.37649e-05,6.37649e-05
183,607.605,0.47973,0.32791,0.81574,0.99919,1,0.995,0.89815,0.24519,0.15792,0.42296,5.93093e-05,5.93093e-05,5.93093e-05
184,610.956,0.44618,0.31666,0.81087,0.9992,1,0.995,0.90394,0.24441,0.15677,0.42234,5.50882e-05,5.50882e-05,5.50882e-05
185,614.241,0.48488,0.32394,0.82381,0.9992,1,0.995,0.90404,0.24255,0.15325,0.42186,5.11027e-05,5.11027e-05,5.11027e-05
186,617.515,0.45841,0.31531,0.82514,0.99921,1,0.995,0.90626,0.24364,0.15363,0.42176,4.73538e-05,4.73538e-05,4.73538e-05
187,620.878,0.46207,0.3159,0.80875,0.99921,1,0.995,0.9038,0.24358,0.15116,0.4221,4.38424e-05,4.38424e-05,4.38424e-05
188,624.2,0.46398,0.31719,0.82448,0.99919,1,0.995,0.90626,0.24452,0.14811,0.42248,4.05694e-05,4.05694e-05,4.05694e-05
